都道府県,,,平成30年４月12日現在
法人番号,名称,所在地,備考
7000020010006,北海道,北海道札幌市中央区北三条西６丁目１,
2000020020001,青森県,青森県青森市長島１丁目１－１,
4000020030007,岩手県,岩手県盛岡市内丸１０番１号,
8000020040002,宮城県,宮城県仙台市青葉区本町３丁目８－１,
1000020050008,秋田県,秋田県秋田市山王４丁目１－１,
5000020060003,山形県,山形県山形市松波２丁目８－１,
7000020070009,福島県,福島県福島市杉妻町２－１６,
2000020080004,茨城県,茨城県水戸市笠原町９７８－６,
5000020090000,栃木県,栃木県宇都宮市塙田１丁目１－２０,
7000020100005,群馬県,群馬県前橋市大手町１丁目１番１号,
1000020110001,埼玉県,埼玉県さいたま市浦和区高砂３丁目１５－１,
4000020120006,千葉県,千葉県千葉市中央区市場町１－１,
8000020130001,東京都,東京都新宿区西新宿２丁目８－１,
1000020140007,神奈川県,神奈川県横浜市中区日本大通１,
5000020150002,新潟県,新潟県新潟市中央区新光町４番地１,
7000020160008,富山県,富山県富山市新総曲輪１番７号,
2000020170003,石川県,石川県金沢市鞍月１丁目１番地,
4000020180009,福井県,福井県福井市大手３丁目１７－１,
8000020190004,山梨県,山梨県甲府市丸の内１丁目６－１,
1000020200000,長野県,長野県長野市大字南長野字幅下６９２－２,
4000020210005,岐阜県,岐阜県岐阜市薮田南２丁目一番一号,
7000020220001,静岡県,静岡県静岡市葵区追手町９－６,
1000020230006,愛知県,愛知県名古屋市中区三の丸３丁目１－２,
5000020240001,三重県,三重県津市広明町１３番地,
7000020250007,滋賀県,滋賀県大津市京町４丁目１－１,
2000020260002,京都府,京都府京都市上京区下立売通新町西入藪之内町,
4000020270008,大阪府,大阪府大阪市中央区大手前２丁目１－２２,
8000020280003,兵庫県,兵庫県神戸市中央区下山手通５丁目１０－１,
1000020290009,奈良県,奈良県奈良市登大路町３０,
4000020300004,和歌山県,和歌山県和歌山市小松原通１丁目１,
7000020310000,鳥取県,鳥取県鳥取市東町１丁目２２０,
1000020320005,島根県,島根県松江市殿町１,
4000020330001,岡山県,岡山県岡山市北区内山下２丁目４－６,
7000020340006,広島県,広島県広島市中区基町１０－５２,
2000020350001,山口県,山口県山口市滝町１－１,
4000020360007,徳島県,徳島県徳島市万代町１丁目１,
8000020370002,香川県,香川県高松市番町４丁目１－１０,
1000020380008,愛媛県,愛媛県松山市一番町４丁目４－２,
5000020390003,高知県,高知県高知市丸ノ内１丁目２－２０,
6000020400009,福岡県,福岡県福岡市博多区東公園７番７号,
1000020410004,佐賀県,佐賀県佐賀市城内１丁目１－５９,
4000020420000,長崎県,長崎県長崎市尾上町３－１,
7000020430005,熊本県,熊本県熊本市中央区水前寺６丁目１８－１,
1000020440001,大分県,大分県大分市大手町３丁目１－１,
4000020450006,宮崎県,宮崎県宮崎市橘通東２丁目１０－１,
8000020460001,鹿児島県,鹿児島県鹿児島市鴨池新町１０－１,
1000020470007,沖縄県,沖縄県那覇市泉崎１丁目２－２,